,Fecha,Hora,Precio_Zonal,Componente_Congestion,Componente_Energia,Componente_Perdidas,Zona_de_Carga,Mercado,Dia_de_la_semana,Festivo
51,2020-08-03,4,492.91,0.44,495.29,-2.81,AGUASCALIENTES,MDA,Lunes,
52,2020-08-03,5,490.08,0.41,493.34,-3.67,AGUASCALIENTES,MDA,Lunes,
53,2020-08-03,6,506.2,0.48,509.09,-3.37,AGUASCALIENTES,MDA,Lunes,
54,2020-08-03,7,502.74,0.47,504.67,-2.4,AGUASCALIENTES,MDA,Lunes,
55,2020-08-03,8,511.66,0.38,513.2,-1.92,AGUASCALIENTES,MDA,Lunes,
56,2020-08-03,9,487.44,-6.31,498.58,-4.83,AGUASCALIENTES,MDA,Lunes,
57,2020-08-03,10,495.26,-9.39,513.01,-8.35,AGUASCALIENTES,MDA,Lunes,
58,2020-08-03,11,492.67,-9.56,510.29,-8.06,AGUASCALIENTES,MDA,Lunes,
59,2020-08-03,12,495.18,-9.47,512.8,-8.16,AGUASCALIENTES,MDA,Lunes,
60,2020-08-03,13,508,-7.86,523.74,-7.88,AGUASCALIENTES,MDA,Lunes,
61,2020-08-03,14,529.63,-4.81,541.52,-7.08,AGUASCALIENTES,MDA,Lunes,
62,2020-08-03,15,525.56,2.34,533.05,-9.83,AGUASCALIENTES,MDA,Lunes,
63,2020-08-03,16,535.05,-1.51,545.19,-8.64,AGUASCALIENTES,MDA,Lunes,
64,2020-08-03,17,516.72,2.12,524.65,-10.06,AGUASCALIENTES,MDA,Lunes,
65,2020-08-03,18,534.99,-1.35,542.05,-5.71,AGUASCALIENTES,MDA,Lunes,
66,2020-08-03,19,523.19,11.16,518.17,-6.14,AGUASCALIENTES,MDA,Lunes,
67,2020-08-03,20,541.78,0.4,544.15,-2.78,AGUASCALIENTES,MDA,Lunes,
68,2020-08-03,21,544.78,4.25,544.81,-4.27,AGUASCALIENTES,MDA,Lunes,
69,2020-08-03,22,569.99,0.67,571.18,-1.85,AGUASCALIENTES,MDA,Lunes,
70,2020-08-03,23,581.29,0,578.84,2.45,AGUASCALIENTES,MDA,Lunes,
71,2020-08-03,24,567.73,0,566.4,1.33,AGUASCALIENTES,MDA,Lunes,
72,2020-08-04,1,578.94,0,578.4,0.54,AGUASCALIENTES,MDA,Martes,
73,2020-08-04,2,557.28,0,559.77,-2.49,AGUASCALIENTES,MDA,Martes,
74,2020-08-04,3,562.98,0,564.23,-1.24,AGUASCALIENTES,MDA,Martes,
75,2020-08-04,4,537.33,0,532.07,5.26,AGUASCALIENTES,MDA,Martes,
76,2020-08-04,5,538,0,535.49,2.51,AGUASCALIENTES,MDA,Martes,
77,2020-08-04,6,546.05,0,544.47,1.58,AGUASCALIENTES,MDA,Martes,
78,2020-08-04,7,554.32,0,556.2,-1.89,AGUASCALIENTES,MDA,Martes,
79,2020-08-04,8,559.35,0,559.11,0.24,AGUASCALIENTES,MDA,Martes,
80,2020-08-04,9,562.29,0,565.62,-3.33,AGUASCALIENTES,MDA,Martes,
81,2020-08-04,10,568.74,-0.02,571.62,-2.87,AGUASCALIENTES,MDA,Martes,
82,2020-08-04,11,590.01,-0.02,593.49,-3.46,AGUASCALIENTES,MDA,Martes,
83,2020-08-04,12,590.29,-0.02,592.01,-1.7,AGUASCALIENTES,MDA,Martes,
84,2020-08-04,13,575.93,-0.02,580.27,-4.32,AGUASCALIENTES,MDA,Martes,
85,2020-08-04,14,555.89,-0.02,560.59,-4.68,AGUASCALIENTES,MDA,Martes,
86,2020-08-04,15,545.23,0,548.62,-3.39,AGUASCALIENTES,MDA,Martes,
87,2020-08-04,16,548.18,0,555.55,-7.37,AGUASCALIENTES,MDA,Martes,
88,2020-08-04,17,565.38,0.9,572.73,-8.26,AGUASCALIENTES,MDA,Martes,
89,2020-08-04,18,561.21,0,566.87,-5.66,AGUASCALIENTES,MDA,Martes,
90,2020-08-04,19,548.41,3.76,552.21,-7.56,AGUASCALIENTES,MDA,Martes,
91,2020-08-04,20,570.05,-0.34,569.11,1.28,AGUASCALIENTES,MDA,Martes,
92,2020-08-04,21,584.49,0,581.56,2.94,AGUASCALIENTES,MDA,Martes,
93,2020-08-04,22,582.13,0,584.56,-2.43,AGUASCALIENTES,MDA,Martes,
94,2020-08-04,23,578.73,0,580.91,-2.18,AGUASCALIENTES,MDA,Martes,
95,2020-08-04,24,571.31,0,573.56,-2.25,AGUASCALIENTES,MDA,Martes,
96,2020-08-05,1,624.73,-15.07,630.93,8.87,AGUASCALIENTES,MDA,Miercoles,
97,2020-08-05,2,598.66,-11.76,589.98,20.44,AGUASCALIENTES,MDA,Miercoles,
98,2020-08-05,3,610.83,-13.36,604.96,19.23,AGUASCALIENTES,MDA,Miercoles,
99,2020-08-05,4,601.62,-12.66,600.58,13.7,AGUASCALIENTES,MDA,Miercoles,
100,2020-08-05,5,585.62,-12.09,588.81,8.91,AGUASCALIENTES,MDA,Miercoles,
101,2020-08-05,6,586.99,-12.54,591.6,7.94,AGUASCALIENTES,MDA,Miercoles,
102,2020-08-05,7,601.92,-13.25,605.15,10.02,AGUASCALIENTES,MDA,Miercoles,
103,2020-08-05,8,589.28,-13.35,593.15,9.48,AGUASCALIENTES,MDA,Miercoles,
104,2020-08-05,9,576.56,-15.27,586.23,5.6,AGUASCALIENTES,MDA,Miercoles,
105,2020-08-05,10,574.58,-13,585.96,1.62,AGUASCALIENTES,MDA,Miercoles,
106,2020-08-05,11,582.06,-14.18,595.73,0.51,AGUASCALIENTES,MDA,Miercoles,
107,2020-08-05,12,585.22,-15.33,599.2,1.36,AGUASCALIENTES,MDA,Miercoles,
108,2020-08-05,13,610.03,-18.26,625.43,2.87,AGUASCALIENTES,MDA,Miercoles,
109,2020-08-05,14,652.88,-20.58,669.74,3.71,AGUASCALIENTES,MDA,Miercoles,
110,2020-08-05,15,629.39,-18.53,644.2,3.72,AGUASCALIENTES,MDA,Miercoles,
111,2020-08-05,16,610.68,-16.04,626.08,0.64,AGUASCALIENTES,MDA,Miercoles,
112,2020-08-05,17,613.98,-12.37,625.7,0.65,AGUASCALIENTES,MDA,Miercoles,
113,2020-08-05,18,595.97,-8.55,607.58,-3.07,AGUASCALIENTES,MDA,Miercoles,
114,2020-08-05,19,608.59,-18.55,620.58,6.56,AGUASCALIENTES,MDA,Miercoles,
115,2020-08-05,20,603.05,-14.96,616.48,1.52,AGUASCALIENTES,MDA,Miercoles,
116,2020-08-05,21,625.5,-12.01,637.34,0.17,AGUASCALIENTES,MDA,Miercoles,
117,2020-08-05,22,681.31,-20.93,690.76,11.48,AGUASCALIENTES,MDA,Miercoles,
118,2020-08-05,23,789.15,-29.42,803.36,15.21,AGUASCALIENTES,MDA,Miercoles,
119,2020-08-05,24,707.69,-23.79,717.97,13.51,AGUASCALIENTES,MDA,Miercoles,
120,2020-08-06,1,695.38,-18.72,699.95,14.16,AGUASCALIENTES,MDA,Jueves,
121,2020-08-06,2,701.04,-20.61,711.98,9.67,AGUASCALIENTES,MDA,Jueves,
122,2020-08-06,3,619.21,-11.34,619.01,11.53,AGUASCALIENTES,MDA,Jueves,
123,2020-08-06,4,614.12,-9.82,610.3,13.64,AGUASCALIENTES,MDA,Jueves,
124,2020-08-06,5,607.01,-9.15,598.77,17.38,AGUASCALIENTES,MDA,Jueves,
125,2020-08-06,6,611.19,-9.93,604.46,16.67,AGUASCALIENTES,MDA,Jueves,
126,2020-08-06,7,614.29,-11.23,612.81,12.71,AGUASCALIENTES,MDA,Jueves,
127,2020-08-06,8,609.9,-10.78,608.62,12.06,AGUASCALIENTES,MDA,Jueves,
128,2020-08-06,9,602.14,-10.46,605.29,7.31,AGUASCALIENTES,MDA,Jueves,
129,2020-08-06,10,603.57,-11.07,612.02,2.62,AGUASCALIENTES,MDA,Jueves,
130,2020-08-06,11,608.86,-11,618.11,1.75,AGUASCALIENTES,MDA,Jueves,
131,2020-08-06,12,611.35,-10.96,617.66,4.65,AGUASCALIENTES,MDA,Jueves,
132,2020-08-06,13,622.48,-12.04,627.71,6.82,AGUASCALIENTES,MDA,Jueves,
133,2020-08-06,14,600.84,-10.43,609.05,2.21,AGUASCALIENTES,MDA,Jueves,
134,2020-08-06,15,687.76,-20.66,709.78,-1.35,AGUASCALIENTES,MDA,Jueves,
135,2020-08-06,16,637.44,-1.02,638.64,-0.18,AGUASCALIENTES,MDA,Jueves,
136,2020-08-06,17,647,-10.32,658.43,-1.11,AGUASCALIENTES,MDA,Jueves,
137,2020-08-06,18,647.03,-10.95,658.94,-0.96,AGUASCALIENTES,MDA,Jueves,
138,2020-08-06,19,617.63,-12.65,625.99,4.29,AGUASCALIENTES,MDA,Jueves,
139,2020-08-06,20,639.07,-19,652.19,5.87,AGUASCALIENTES,MDA,Jueves,
140,2020-08-06,21,632.38,-5.98,637.73,0.63,AGUASCALIENTES,MDA,Jueves,
141,2020-08-06,22,724.24,-25.69,745.65,4.29,AGUASCALIENTES,MDA,Jueves,
142,2020-08-06,23,714.27,-23.55,732.13,5.7,AGUASCALIENTES,MDA,Jueves,
143,2020-08-06,24,703.54,-19.08,716.4,6.22,AGUASCALIENTES,MDA,Jueves,
144,2020-08-07,1,750.78,0,740.81,9.97,AGUASCALIENTES,MDA,Viernes,
145,2020-08-07,2,701.25,-11.65,707.53,5.38,AGUASCALIENTES,MDA,Viernes,
146,2020-08-07,3,708.15,-20.82,723.17,5.81,AGUASCALIENTES,MDA,Viernes,
147,2020-08-07,4,730.01,-22.54,738.81,13.74,AGUASCALIENTES,MDA,Viernes,
148,2020-08-07,5,678.58,-11.85,684.47,5.96,AGUASCALIENTES,MDA,Viernes,
149,2020-08-07,6,723.39,-23.24,733.49,13.14,AGUASCALIENTES,MDA,Viernes,
150,2020-08-07,7,722.61,-24.15,741.22,5.53,AGUASCALIENTES,MDA,Viernes,
151,2020-08-07,8,691.14,-19.95,704.26,6.83,AGUASCALIENTES,MDA,Viernes,
152,2020-08-07,9,729.99,-25.38,752.02,3.35,AGUASCALIENTES,MDA,Viernes,
153,2020-08-07,10,633.21,-13.49,647.35,-0.65,AGUASCALIENTES,MDA,Viernes,
154,2020-08-07,11,627.22,-13.31,642.48,-1.95,AGUASCALIENTES,MDA,Viernes,
155,2020-08-07,12,731.1,-25.81,758.57,-1.66,AGUASCALIENTES,MDA,Viernes,
156,2020-08-07,13,725.7,-24.82,746.45,4.08,AGUASCALIENTES,MDA,Viernes,
157,2020-08-07,14,722.66,-33.28,753.54,2.4,AGUASCALIENTES,MDA,Viernes,
158,2020-08-07,15,630.73,-12.91,641.06,2.58,AGUASCALIENTES,MDA,Viernes,
159,2020-08-07,16,651.76,-15.43,663.35,3.84,AGUASCALIENTES,MDA,Viernes,
160,2020-08-07,17,632.36,-13.67,647.69,-1.66,AGUASCALIENTES,MDA,Viernes,
161,2020-08-07,18,651.27,-14.96,659.46,6.78,AGUASCALIENTES,MDA,Viernes,
162,2020-08-07,19,666.81,-20.72,679.3,8.23,AGUASCALIENTES,MDA,Viernes,
163,2020-08-07,20,737.06,-30.63,765.89,1.8,AGUASCALIENTES,MDA,Viernes,
164,2020-08-07,21,776.08,-42.7,815.61,3.16,AGUASCALIENTES,MDA,Viernes,
165,2020-08-07,22,785.25,-32.17,811.54,5.88,AGUASCALIENTES,MDA,Viernes,
166,2020-08-07,23,788.53,-31.03,807.48,12.07,AGUASCALIENTES,MDA,Viernes,
167,2020-08-07,24,847.77,-37.36,870.73,14.39,AGUASCALIENTES,MDA,Viernes,
168,2020-08-01,1,739.44,18.71,699.32,21.4,APATZINGAN,MDA,Sabado,
169,2020-08-01,2,573.06,43.2,513.64,16.22,APATZINGAN,MDA,Sabado,
170,2020-08-01,3,584.66,0,566.22,18.45,APATZINGAN,MDA,Sabado,
171,2020-08-01,4,592.05,0,571.49,20.56,APATZINGAN,MDA,Sabado,
172,2020-08-01,5,551.84,0,532.22,19.62,APATZINGAN,MDA,Sabado,
173,2020-08-01,6,576.17,0,554.6,21.57,APATZINGAN,MDA,Sabado,
174,2020-08-01,7,522.33,119.78,383.7,18.85,APATZINGAN,MDA,Sabado,
175,2020-08-01,8,488.5,133.45,336.79,18.26,APATZINGAN,MDA,Sabado,
176,2020-08-01,9,494.63,145.44,331.03,18.17,APATZINGAN,MDA,Sabado,
177,2020-08-01,10,450.72,171.42,264.77,14.54,APATZINGAN,MDA,Sabado,
178,2020-08-01,11,501.68,139.09,341.67,20.91,APATZINGAN,MDA,Sabado,
179,2020-08-01,12,512.96,159.54,332.6,20.83,APATZINGAN,MDA,Sabado,
180,2020-08-01,13,500.12,154.12,324.84,21.17,APATZINGAN,MDA,Sabado,
181,2020-08-01,14,506.83,195,292.96,18.87,APATZINGAN,MDA,Sabado,
182,2020-08-01,15,497.37,149.1,328.31,19.96,APATZINGAN,MDA,Sabado,
183,2020-08-01,16,518.2,182.05,317.45,18.71,APATZINGAN,MDA,Sabado,
184,2020-08-01,17,521.09,179.6,322.35,19.14,APATZINGAN,MDA,Sabado,
185,2020-08-01,18,516.12,162.83,332.87,20.42,APATZINGAN,MDA,Sabado,
186,2020-08-01,19,530.96,176.4,334.71,19.85,APATZINGAN,MDA,Sabado,
187,2020-08-01,20,561.65,168.32,372,21.34,APATZINGAN,MDA,Sabado,
188,2020-08-01,21,575.5,164.51,388.92,22.08,APATZINGAN,MDA,Sabado,
189,2020-08-01,22,582.45,162.97,394.09,25.39,APATZINGAN,MDA,Sabado,
190,2020-08-01,23,576.91,164.24,387.96,24.71,APATZINGAN,MDA,Sabado,
191,2020-08-01,24,564.41,163.01,379.87,21.54,APATZINGAN,MDA,Sabado,
192,2020-08-02,1,522.77,74.03,424.36,24.37,APATZINGAN,MDA,Domingo,
193,2020-08-02,2,504.37,88.76,396.15,19.47,APATZINGAN,MDA,Domingo,
194,2020-08-02,3,492.17,95.05,380.3,16.82,APATZINGAN,MDA,Domingo,
195,2020-08-02,4,474.69,72.35,387.13,15.22,APATZINGAN,MDA,Domingo,
196,2020-08-02,5,465.23,63.72,387.14,14.37,APATZINGAN,MDA,Domingo,
197,2020-08-02,6,467.55,62.57,391.34,13.64,APATZINGAN,MDA,Domingo,
198,2020-08-02,7,522.57,56.41,451.78,14.37,APATZINGAN,MDA,Domingo,
199,2020-08-02,8,482.75,11.49,455.9,15.36,APATZINGAN,MDA,Domingo,
200,2020-08-02,9,482.06,12.12,452.3,17.65,APATZINGAN,MDA,Domingo,
201,2020-08-02,10,440.38,19.19,405.54,15.65,APATZINGAN,MDA,Domingo,
202,2020-08-02,11,452.57,7.49,427.07,18,APATZINGAN,MDA,Domingo,
203,2020-08-02,12,479.17,-3.99,463.59,19.57,APATZINGAN,MDA,Domingo,
204,2020-08-02,13,466.57,15.79,431.36,19.42,APATZINGAN,MDA,Domingo,
205,2020-08-02,14,471.43,-3,452.59,21.83,APATZINGAN,MDA,Domingo,
206,2020-08-02,15,478.5,5.29,450.86,22.35,APATZINGAN,MDA,Domingo,
207,2020-08-02,16,447.88,38.02,390.4,19.46,APATZINGAN,MDA,Domingo,
208,2020-08-02,17,459.53,62.68,378.73,18.13,APATZINGAN,MDA,Domingo,
209,2020-08-02,18,462.93,52.54,390.21,20.19,APATZINGAN,MDA,Domingo,
210,2020-08-02,19,499.15,18.96,458.74,21.44,APATZINGAN,MDA,Domingo,
211,2020-08-02,20,579.94,23.01,533.43,23.5,APATZINGAN,MDA,Domingo,
212,2020-08-02,21,642.1,0,611.17,30.93,APATZINGAN,MDA,Domingo,
213,2020-08-02,22,687.16,0,648.44,38.73,APATZINGAN,MDA,Domingo,
214,2020-08-02,23,670.36,0,635.06,35.3,APATZINGAN,MDA,Domingo,
215,2020-08-02,24,641.15,0,612.21,28.94,APATZINGAN,MDA,Domingo,
216,2020-08-03,1,553.04,13.75,515.91,23.38,APATZINGAN,MDA,Lunes,
217,2020-08-03,2,556.18,0,533.43,22.75,APATZINGAN,MDA,Lunes,
218,2020-08-03,3,543.29,0,518.45,24.84,APATZINGAN,MDA,Lunes,
219,2020-08-03,4,517.66,0.01,495.29,22.36,APATZINGAN,MDA,Lunes,
220,2020-08-03,5,514.7,0.01,493.34,21.35,APATZINGAN,MDA,Lunes,
221,2020-08-03,6,531.88,0.01,509.09,22.78,APATZINGAN,MDA,Lunes,
222,2020-08-03,7,528.59,0.01,504.67,23.91,APATZINGAN,MDA,Lunes,
223,2020-08-03,8,540.43,0.01,513.2,27.22,APATZINGAN,MDA,Lunes,
224,2020-08-03,9,529.29,0.59,498.58,30.12,APATZINGAN,MDA,Lunes,
225,2020-08-03,10,546.17,0.75,513.01,32.42,APATZINGAN,MDA,Lunes,
226,2020-08-03,11,544.81,0.54,510.29,33.98,APATZINGAN,MDA,Lunes,
227,2020-08-03,12,547.59,0.46,512.8,34.33,APATZINGAN,MDA,Lunes,
228,2020-08-03,13,560.41,0.23,523.74,36.44,APATZINGAN,MDA,Lunes,
229,2020-08-03,14,579.93,-0.11,541.52,38.52,APATZINGAN,MDA,Lunes,
230,2020-08-03,15,576.02,7.45,533.06,35.52,APATZINGAN,MDA,Lunes,
231,2020-08-03,16,583.51,2.16,545.19,36.17,APATZINGAN,MDA,Lunes,
232,2020-08-03,17,563.88,5.77,524.65,33.46,APATZINGAN,MDA,Lunes,
233,2020-08-03,18,579.3,0.41,542.05,36.84,APATZINGAN,MDA,Lunes,
234,2020-08-03,19,570.56,17.77,518.17,34.62,APATZINGAN,MDA,Lunes,
235,2020-08-03,20,580.92,0.64,544.15,36.12,APATZINGAN,MDA,Lunes,
236,2020-08-03,21,585.42,5.48,544.81,35.14,APATZINGAN,MDA,Lunes,
237,2020-08-03,22,613.97,1.07,571.18,41.72,APATZINGAN,MDA,Lunes,
238,2020-08-03,23,620.01,0,578.84,41.17,APATZINGAN,MDA,Lunes,
239,2020-08-03,24,599.64,0,566.4,33.24,APATZINGAN,MDA,Lunes,
240,2020-08-04,1,601.65,0,578.4,23.25,APATZINGAN,MDA,Martes,
241,2020-08-04,2,578.68,0,559.77,18.91,APATZINGAN,MDA,Martes,
242,2020-08-04,3,583.32,0,564.23,19.09,APATZINGAN,MDA,Martes,
243,2020-08-04,4,554.62,0,532.07,22.55,APATZINGAN,MDA,Martes,
244,2020-08-04,5,556.52,0,535.49,21.03,APATZINGAN,MDA,Martes,
245,2020-08-04,6,565.56,0,544.47,21.09,APATZINGAN,MDA,Martes,
246,2020-08-04,7,576.31,0,556.2,20.11,APATZINGAN,MDA,Martes,
247,2020-08-04,8,584.21,0,559.11,25.1,APATZINGAN,MDA,Martes,
248,2020-08-04,9,595.98,0.13,565.62,30.23,APATZINGAN,MDA,Martes,
249,2020-08-04,10,608.45,1.71,571.62,35.12,APATZINGAN,MDA,Martes,
250,2020-08-04,11,633.11,1.87,593.49,37.75,APATZINGAN,MDA,Martes,
251,2020-08-04,12,633.38,1.88,592.01,39.49,APATZINGAN,MDA,Martes,
252,2020-08-04,13,620.91,1.78,580.27,38.86,APATZINGAN,MDA,Martes,
253,2020-08-04,14,599.52,1.73,560.59,37.19,APATZINGAN,MDA,Martes,
254,2020-08-04,15,585.86,0,548.62,37.25,APATZINGAN,MDA,Martes,
255,2020-08-04,16,586.64,0.08,555.55,31.02,APATZINGAN,MDA,Martes,
256,2020-08-04,17,605.92,1.44,572.73,31.75,APATZINGAN,MDA,Martes,
257,2020-08-04,18,598.87,0,566.87,32,APATZINGAN,MDA,Martes,
258,2020-08-04,19,585.75,5.12,552.21,28.42,APATZINGAN,MDA,Martes,
259,2020-08-04,20,603.35,-1.68,569.11,35.92,APATZINGAN,MDA,Martes,
260,2020-08-04,21,617.13,0,581.56,35.57,APATZINGAN,MDA,Martes,
261,2020-08-04,22,618.33,0,584.56,33.77,APATZINGAN,MDA,Martes,
262,2020-08-04,23,611.03,0,580.91,30.12,APATZINGAN,MDA,Martes,
263,2020-08-04,24,598.3,0,573.57,24.73,APATZINGAN,MDA,Martes,
264,2020-08-05,1,642.58,-11.75,630.92,23.41,APATZINGAN,MDA,Miercoles,
265,2020-08-05,2,611.42,-9.16,589.98,30.61,APATZINGAN,MDA,Miercoles,
266,2020-08-05,3,624.18,-10.41,604.96,29.63,APATZINGAN,MDA,Miercoles,
267,2020-08-05,4,615.6,-10.05,600.58,25.06,APATZINGAN,MDA,Miercoles,
268,2020-08-05,5,600.31,-9.53,588.81,21.03,APATZINGAN,MDA,Miercoles,
269,2020-08-05,6,602.7,-9.77,591.6,20.87,APATZINGAN,MDA,Miercoles,
270,2020-08-05,7,618.35,-10.82,605.15,24.02,APATZINGAN,MDA,Miercoles,
271,2020-08-05,8,608.41,-10.4,593.15,25.66,APATZINGAN,MDA,Miercoles,
272,2020-08-05,9,603.88,-11.94,586.23,29.59,APATZINGAN,MDA,Miercoles,
273,2020-08-05,10,609.53,-8.67,585.96,32.24,APATZINGAN,MDA,Miercoles,
274,2020-08-05,11,620.62,-9.22,595.73,34.12,APATZINGAN,MDA,Miercoles,
275,2020-08-05,12,623.33,-11.42,599.2,35.55,APATZINGAN,MDA,Miercoles,
276,2020-08-05,13,651.71,-12.61,625.43,38.89,APATZINGAN,MDA,Miercoles,
277,2020-08-05,14,697.45,-14.51,669.74,42.21,APATZINGAN,MDA,Miercoles,
278,2020-08-05,15,673.5,-10.15,644.2,39.45,APATZINGAN,MDA,Miercoles,
279,2020-08-05,16,652.93,-8.32,626.08,35.16,APATZINGAN,MDA,Miercoles,
280,2020-08-05,17,651.29,-6.98,625.7,32.57,APATZINGAN,MDA,Miercoles,
281,2020-08-05,18,636.62,-1.65,607.58,30.7,APATZINGAN,MDA,Miercoles,
282,2020-08-05,19,643.03,-14.47,620.58,36.92,APATZINGAN,MDA,Miercoles,
283,2020-08-05,20,637.43,-8.94,616.48,29.89,APATZINGAN,MDA,Miercoles,
284,2020-08-05,21,661.82,-5.14,637.34,29.63,APATZINGAN,MDA,Miercoles,
285,2020-08-05,22,714.55,-16.35,690.76,40.14,APATZINGAN,MDA,Miercoles,
286,2020-08-05,23,824.62,-22.98,803.36,44.25,APATZINGAN,MDA,Miercoles,
287,2020-08-05,24,730.83,-18.57,717.97,31.43,APATZINGAN,MDA,Miercoles,
288,2020-08-06,1,709.94,-14.6,699.95,24.6,APATZINGAN,MDA,Jueves,
289,2020-08-06,2,719.43,-16.06,711.98,23.51,APATZINGAN,MDA,Jueves,
290,2020-08-06,3,631.88,-8.83,619.01,21.7,APATZINGAN,MDA,Jueves,
291,2020-08-06,4,625.85,-7.65,610.3,23.2,APATZINGAN,MDA,Jueves,
292,2020-08-06,5,616.74,-7.13,598.77,25.09,APATZINGAN,MDA,Jueves,
293,2020-08-06,6,622.26,-7.74,604.46,25.54,APATZINGAN,MDA,Jueves,
